               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073744,            0.016873,           0.0063302,             0.66898,             0.68377,             0.72312,             0.34124,            0.050719,           0.0078914,           0.0010249,            0.070026,           0.0033305,           0.0033305
                   1,            0.053831,            0.011675,           0.0017694,             0.85747,             0.81519,             0.88226,             0.43743,             0.04169,           0.0067729,          0.00099721,             0.03996,           0.0065978,           0.0065978
                   2,            0.049752,            0.010329,           0.0013468,             0.89024,             0.85863,             0.91716,             0.47691,            0.038792,           0.0064149,           0.0008704,           0.0098278,           0.0097992,           0.0097992
                   3,            0.046282,           0.0099995,          0.00099787,             0.88397,              0.8597,             0.91609,              0.4939,            0.035715,           0.0063405,          0.00056902,            0.009703,            0.009703,            0.009703
                   4,            0.042585,           0.0094267,          0.00069892,             0.92772,             0.87534,             0.94163,              0.5496,            0.033099,           0.0059573,          0.00044655,            0.009703,            0.009703,            0.009703
                   5,            0.040177,           0.0092717,          0.00060531,             0.92438,             0.89733,             0.94342,              0.5524,            0.032429,           0.0058068,          0.00036496,            0.009604,            0.009604,            0.009604
                   6,            0.037918,           0.0089024,          0.00047713,             0.92948,             0.89848,             0.95134,             0.57289,            0.031244,           0.0056341,          0.00033625,            0.009505,            0.009505,            0.009505
                   7,            0.037166,           0.0087405,          0.00043386,             0.93212,             0.89934,             0.95342,              0.5964,            0.029707,           0.0054964,          0.00031834,            0.009406,            0.009406,            0.009406
                   8,            0.035938,            0.008477,          0.00039818,             0.95029,             0.91396,             0.96505,             0.61012,              0.0293,           0.0053555,           0.0002892,            0.009307,            0.009307,            0.009307
                   9,            0.035032,           0.0082581,          0.00036474,             0.95094,             0.91954,             0.96834,             0.60893,            0.029293,           0.0053088,          0.00024477,            0.009208,            0.009208,            0.009208
                  10,            0.034369,           0.0081699,          0.00032414,             0.94532,             0.92971,             0.97094,             0.62656,            0.028123,           0.0051777,          0.00023494,            0.009109,            0.009109,            0.009109
                  11,            0.033742,           0.0080894,          0.00033598,             0.95804,             0.92054,             0.97386,             0.63424,            0.027728,           0.0050805,          0.00022065,             0.00901,             0.00901,             0.00901
                  12,            0.033271,           0.0080585,          0.00029864,             0.95555,             0.93254,              0.9769,             0.64307,            0.026848,           0.0050051,          0.00021756,            0.008911,            0.008911,            0.008911
                  13,             0.03274,            0.007909,           0.0002884,             0.95575,             0.93119,             0.97628,             0.64383,            0.026914,           0.0049414,          0.00022254,            0.008812,            0.008812,            0.008812
                  14,            0.032275,           0.0078321,           0.0002908,             0.95742,             0.93801,             0.97539,             0.64982,            0.026785,           0.0049658,          0.00020546,            0.008713,            0.008713,            0.008713
                  15,            0.032078,           0.0077654,          0.00027962,             0.96285,             0.93569,             0.97579,             0.64747,             0.02653,           0.0048678,          0.00018652,            0.008614,            0.008614,            0.008614
                  16,            0.031892,           0.0076575,          0.00025661,             0.95246,             0.94078,             0.97665,             0.65654,            0.026197,           0.0048301,          0.00018774,            0.008515,            0.008515,            0.008515
                  17,            0.031421,           0.0076682,          0.00025723,              0.9524,             0.94056,             0.97952,              0.6633,            0.025992,           0.0048221,          0.00019024,            0.008416,            0.008416,            0.008416
                  18,            0.031051,            0.007638,          0.00023198,             0.96274,               0.934,             0.97785,             0.65359,            0.026203,           0.0048366,          0.00017345,            0.008317,            0.008317,            0.008317
                  19,            0.030763,           0.0075155,          0.00023016,             0.95359,             0.95141,             0.98075,             0.66719,              0.0254,           0.0047012,          0.00016681,            0.008218,            0.008218,            0.008218
                  20,            0.030515,           0.0075318,          0.00021256,             0.96421,             0.94438,             0.98081,             0.66703,            0.025622,           0.0047359,           0.0001693,            0.008119,            0.008119,            0.008119
                  21,             0.03046,           0.0074046,          0.00020499,             0.96483,             0.94612,             0.98154,             0.66963,            0.025236,            0.004681,          0.00016456,             0.00802,             0.00802,             0.00802
                  22,            0.030008,           0.0073884,          0.00021711,             0.96168,             0.93978,             0.97923,             0.66729,            0.025234,           0.0047069,          0.00016544,            0.007921,            0.007921,            0.007921
                  23,            0.030081,           0.0074087,          0.00020941,             0.96545,             0.94411,             0.98299,             0.67763,            0.024771,            0.004621,          0.00015514,            0.007822,            0.007822,            0.007822
                  24,            0.029685,           0.0073666,          0.00021892,             0.96266,             0.93953,             0.98022,             0.67747,            0.024829,           0.0046328,          0.00015543,            0.007723,            0.007723,            0.007723
                  25,            0.029708,           0.0073614,          0.00019441,             0.96326,             0.95111,             0.98263,              0.6805,            0.024569,           0.0045749,          0.00014238,            0.007624,            0.007624,            0.007624
                  26,            0.029427,           0.0072221,          0.00020471,             0.96278,             0.95498,             0.98482,             0.68087,            0.024433,            0.004517,          0.00015134,            0.007525,            0.007525,            0.007525
                  27,            0.029173,           0.0071749,           0.0001844,             0.96004,             0.95708,             0.98162,             0.68302,            0.024327,           0.0045188,          0.00015131,            0.007426,            0.007426,            0.007426
                  28,            0.029035,           0.0071715,          0.00020988,             0.96931,             0.95413,             0.98326,             0.68963,            0.024138,            0.004479,          0.00013671,            0.007327,            0.007327,            0.007327
                  29,             0.02861,           0.0070949,          0.00017941,             0.97178,             0.95411,             0.98483,             0.69241,             0.02402,           0.0044602,          0.00013758,            0.007228,            0.007228,            0.007228
                  30,            0.028542,           0.0071928,          0.00018841,             0.96894,             0.95741,             0.98632,             0.69325,            0.023765,           0.0044638,          0.00012945,            0.007129,            0.007129,            0.007129
                  31,            0.028114,           0.0069805,          0.00016625,             0.97318,             0.94934,              0.9851,             0.69698,            0.023729,           0.0044008,          0.00013098,             0.00703,             0.00703,             0.00703
                  32,            0.028097,           0.0070439,          0.00017958,             0.97469,             0.95798,             0.98797,              0.6968,            0.023542,           0.0043501,          0.00013149,            0.006931,            0.006931,            0.006931
                  33,            0.028072,           0.0069463,           0.0001701,             0.97719,             0.95085,             0.98793,             0.70191,            0.023444,           0.0043564,          0.00011861,            0.006832,            0.006832,            0.006832
                  34,            0.027842,           0.0069774,          0.00015498,             0.96825,             0.96226,             0.98596,             0.70189,            0.023413,           0.0043533,          0.00012594,            0.006733,            0.006733,            0.006733
                  35,            0.027806,           0.0069461,          0.00016467,             0.97626,             0.95648,             0.98801,             0.70527,            0.023192,           0.0042997,          0.00011766,            0.006634,            0.006634,            0.006634
                  36,             0.02746,           0.0068766,          0.00015419,             0.97439,             0.96048,             0.98675,             0.70794,            0.023217,            0.004289,          0.00011597,            0.006535,            0.006535,            0.006535
                  37,            0.027499,           0.0069327,          0.00015286,             0.97031,             0.96064,             0.98765,             0.71017,            0.022937,           0.0042622,          0.00011602,            0.006436,            0.006436,            0.006436
                  38,            0.027557,           0.0069006,           0.0001478,             0.97534,             0.95924,             0.98629,              0.7117,            0.022844,           0.0042478,          0.00011804,            0.006337,            0.006337,            0.006337
                  39,            0.027021,            0.006734,          0.00015854,             0.97202,              0.9607,             0.98716,             0.70914,            0.022963,             0.00428,          0.00010845,            0.006238,            0.006238,            0.006238
                  40,            0.027158,           0.0068334,          0.00014381,             0.97703,             0.95869,             0.98677,             0.71476,            0.022647,           0.0042091,          0.00010695,            0.006139,            0.006139,            0.006139
                  41,            0.026788,           0.0067057,          0.00014434,             0.97316,             0.96244,             0.98862,             0.71471,            0.022607,            0.004206,          0.00010225,             0.00604,             0.00604,             0.00604
                  42,            0.026865,           0.0067924,          0.00013907,             0.97367,             0.96497,             0.98644,              0.7162,            0.022561,           0.0042002,          0.00010777,            0.005941,            0.005941,            0.005941
                  43,            0.026575,           0.0067543,          0.00015068,             0.97492,             0.96231,             0.98835,             0.72027,             0.02243,           0.0041557,          0.00010251,            0.005842,            0.005842,            0.005842
                  44,            0.026286,           0.0065997,          0.00013501,             0.97505,             0.96147,             0.98959,             0.72034,             0.02238,             0.00415,           0.0001056,            0.005743,            0.005743,            0.005743
                  45,            0.026354,           0.0065716,          0.00014143,             0.97895,              0.9623,             0.98918,             0.71883,            0.022358,           0.0041476,          0.00010265,            0.005644,            0.005644,            0.005644
                  46,             0.02612,           0.0065926,          0.00013523,             0.98278,             0.96283,             0.99072,             0.72391,            0.022244,           0.0041102,          0.00010446,            0.005545,            0.005545,            0.005545
                  47,            0.026149,           0.0065628,          0.00013179,             0.97855,             0.96343,             0.98897,             0.72356,            0.022296,           0.0041289,          9.6134e-05,            0.005446,            0.005446,            0.005446
                  48,            0.026105,           0.0065956,          0.00013395,             0.97777,             0.96451,             0.98882,             0.72366,            0.022133,           0.0041088,          9.4533e-05,            0.005347,            0.005347,            0.005347
                  49,            0.025894,           0.0065129,          0.00013565,             0.98063,             0.96556,             0.98832,             0.72399,            0.022143,           0.0040929,          9.3527e-05,            0.005248,            0.005248,            0.005248
                  50,             0.02574,           0.0065086,          0.00012619,             0.97722,             0.96842,              0.9902,             0.72658,            0.022024,           0.0040676,          9.2615e-05,            0.005149,            0.005149,            0.005149
                  51,            0.025598,           0.0064144,          0.00010768,             0.97933,             0.96894,             0.98965,             0.72909,            0.021958,           0.0040509,          9.3162e-05,             0.00505,             0.00505,             0.00505
                  52,            0.025494,            0.006566,          0.00011539,             0.97954,             0.97027,             0.98858,             0.72976,            0.021817,           0.0040324,          9.0353e-05,            0.004951,            0.004951,            0.004951
                  53,            0.025622,           0.0064893,          0.00011089,             0.97773,             0.96704,             0.98862,             0.72889,            0.021761,           0.0040393,          8.8022e-05,            0.004852,            0.004852,            0.004852
